iter	Passed	Remaining
620	1143	697
621	1144	695
622	1146	693
623	1148	691
624	1149	689
625	1151	688
626	1155	687
627	1156	685
628	1158	683
629	1160	681
630	1162	679
631	1163	677
632	1165	675
633	1167	674
634	1170	672
635	1172	671
636	1174	669
637	1176	667
638	1177	665
639	1179	663
640	1182	662
641	1184	660
642	1186	658
643	1188	656
644	1190	655
645	1192	653
646	1193	651
647	1196	649
648	1198	648
649	1201	646
650	1202	644
651	1204	642
652	1205	640
653	1208	639
654	1211	638
655	1226	643
656	1228	641
657	1230	639
658	1232	637
659	1234	635
660	1236	633
661	1237	631
662	1240	630
663	1243	629
664	1245	627
665	1247	625
666	1249	623
667	1251	621
668	1252	619
669	1254	617
670	1256	616
671	1258	614
672	1260	612
673	1262	610
674	1264	608
675	1265	606
676	1267	604
677	1269	602
678	1271	601
679	1273	599
680	1274	597
681	1276	595
682	1277	593
683	1279	591
684	1281	589
685	1282	587
686	1284	585
687	1286	583
688	1287	581
689	1289	579
690	1291	577
691	1293	575
692	1294	573
693	1296	571
694	1298	569
695	1301	568
696	1303	566
697	1305	564
698	1307	562
699	1309	561
700	1311	559
701	1314	558
702	1316	556
703	1326	557
704	1329	556
705	1331	554
706	1333	552
707	1335	550
708	1337	548
709	1340	547
710	1342	545
711	1344	543
712	1346	542
713	1348	540
714	1350	538
715	1352	536
716	1355	534
717	1356	532
718	1359	531
719	1361	529
720	1363	527
721	1365	525
722	1368	524
723	1370	522
724	1374	521
725	1376	519
726	1380	518
727	1382	516
728	1384	514
729	1386	512
730	1388	510
731	1391	509
732	1393	507
733	1395	505
734	1397	503
735	1399	501
736	1402	500
737	1405	498
738	1411	498
739	1413	496
740	1415	494
741	1419	493
742	1421	491
743	1424	490
744	1426	488
745	1428	486
746	1432	485
747	1436	484
748	1439	482
749	1441	480
750	1443	478
751	1446	477
752	1449	475
753	1451	473
754	1453	471
755	1455	469
756	1457	467
757	1459	465
758	1462	464
759	1464	462
760	1467	460
761	1469	458
762	1471	457
763	1473	455
764	1475	453
765	1478	451
766	1480	449
767	1482	447
768	1484	445
769	1486	443
770	1488	441
771	1491	440
772	1493	438
773	1495	436
774	1497	434
775	1498	432
776	1500	430
777	1502	428
778	1518	430
779	1520	428
780	1523	427
781	1524	425
782	1526	423
783	1528	421
784	1530	419
785	1531	417
786	1533	414
787	1534	412
788	1536	410
789	1538	408
790	1540	406
791	1546	406
792	1548	404
793	1551	402
794	1553	400
795	1554	398
796	1556	396
797	1557	394
798	1559	392
799	1560	390
800	1562	388
801	1563	386
802	1565	384
803	1566	381
804	1568	379
805	1569	377
806	1571	375
807	1577	374
808	1580	373
809	1582	371
810	1584	369
811	1586	367
812	1587	365
813	1589	363
814	1591	361
815	1592	359
816	1596	357
817	1598	355
818	1600	353
819	1602	351
820	1603	349
821	1605	347
822	1607	345
823	1609	343
824	1614	342
825	1616	340
826	1618	338
827	1620	336
828	1622	334
829	1625	333
830	1628	331
831	1630	329
832	1631	327
833	1634	325
834	1636	323
835	1638	321
836	1640	319
837	1642	317
838	1644	315
839	1645	313
840	1647	311
841	1648	309
842	1650	307
843	1652	305
844	1655	303
845	1657	301
846	1658	299
847	1660	297
848	1662	295
849	1663	293
850	1664	291
851	1666	289
852	1670	287
853	1671	285
854	1673	283
855	1675	281
856	1677	279
857	1678	277
858	1679	275
859	1681	273
860	1683	271
861	1685	269
862	1687	267
863	1689	265
864	1690	263
865	1692	261
866	1694	259
867	1695	257
868	1697	255
869	1699	253
870	1701	251
871	1702	249
872	1704	248
873	1706	246
874	1708	244
875	1709	242
876	1712	240
877	1714	238
878	1716	236
879	1718	234
880	1719	232
881	1721	230
882	1722	228
883	1724	226
884	1726	224
885	1728	222
886	1730	220
887	1731	218
888	1733	216
889	1735	214
890	1736	212
891	1738	210
892	1740	208
893	1742	206
894	1744	204
895	1745	202
896	1747	200
897	1749	198
898	1750	196
899	1752	194
900	1754	192
901	1756	190
902	1758	188
903	1759	186
904	1761	184
905	1763	182
906	1764	180
907	1766	179
908	1768	177
909	1771	175
910	1772	173
911	1774	171
912	1776	169
913	1778	167
914	1779	165
915	1781	163
916	1783	161
917	1785	159
918	1787	157
919	1789	155
920	1790	153
921	1792	151
922	1794	149
923	1795	147
924	1797	145
925	1800	143
926	1802	141
927	1807	140
928	1809	138
929	1812	136
930	1816	134
931	1819	132
932	1821	130
933	1823	128
934	1825	126
935	1827	124
936	1829	122
937	1831	121
938	1832	119
939	1834	117
940	1836	115
941	1837	113
942	1839	111
943	1841	109
944	1843	107
945	1844	105
946	1847	103
947	1849	101
948	1851	99
949	1852	97
950	1854	95
951	1856	93
952	1858	91
953	1861	89
954	1862	87
955	1864	85
956	1866	83
957	1867	81
958	1869	79
959	1870	77
960	1872	76
961	1875	74
962	1876	72
963	1878	70
964	1879	68
965	1881	66
966	1882	64
967	1884	62
968	1885	60
969	1887	58
970	1889	56
971	1891	54
972	1892	52
973	1894	50
974	1896	48
975	1897	46
976	1899	44
977	1900	42
978	1901	40
979	1903	38
980	1905	36
981	1907	34
982	1908	33
983	1910	31
984	1911	29
985	1913	27
986	1914	25
987	1916	23
988	1917	21
989	1919	19
990	1920	17
991	1922	15
992	1924	13
993	1925	11
994	1926	9
995	1928	7
996	1929	5
997	1931	3
998	1933	1
999	1935	0
